id,A_log2_qnorm_tumor_batchadj_score,A_log2_qnorm_tumor_batchadj_sd,A_log2_qnorm_tumor_batchadj_high,B_log2_qnorm_tumor_no_batchadj_score,B_log2_qnorm_tumor_no_batchadj_sd,B_log2_qnorm_tumor_no_batchadj_high,C_log2_raw_batchadj_score,C_log2_raw_batchadj_sd,C_log2_raw_batchadj_high,D_log2_qnorm_all120_batchadj_score,D_log2_qnorm_all120_batchadj_sd,D_log2_qnorm_all120_batchadj_high,E_log2_qnorm_within_batch_batchadj_score,E_log2_qnorm_within_batch_batchadj_sd,E_log2_qnorm_within_batch_batchadj_high,F_qnorm_raw_then_log2_tumor_batchadj_score,F_qnorm_raw_then_log2_tumor_batchadj_sd,F_qnorm_raw_then_log2_tumor_batchadj_high,G_qnorm_raw_within_batch_then_log2_batchadj_score,G_qnorm_raw_within_batch_then_log2_batchadj_sd,G_qnorm_raw_within_batch_then_log2_batchadj_high
CCA_SG_12,0.030787804813565488,0.08116912201473543,1,0.019523157192268617,0.0540928417902871,1,0.2510791626823083,0.38401716983855966,1,0.030759775266905574,0.08109795793991433,1,0.029873903699393942,0.07869268086318214,1,0.030755259831686605,0.08109110231669156,1,0.02968824111593942,0.07823454851266926,1
CCA_SG_13,0.5259156594381382,1.3087532316105654,1,0.5087324074201871,1.2951752276252946,1,0.45905976849804064,0.694482091661918,1,0.5258840003379074,1.3086627379878384,1,0.5324570859983644,1.321193467972458,1,0.5251162416059401,1.306819110062465,1,0.5313319097736933,1.3186241797583564,1
CCA_SG_14,0.30614245287734426,0.7638634752192204,1,0.2916646561482831,0.7444927486843017,1,-0.061540217525101915,-0.082648224542259,0,0.30621920543750697,0.7640463528826387,1,0.3126461884179998,0.7777705623163511,1,0.3064692409179353,0.7647015837337429,1,0.31257558226888854,0.7777161660434079,1
CCA_SG_15,-0.2350429156877033,-0.5779122956065881,0,-0.23820681797054566,-0.5997462512506575,0,0.16436998049968263,0.254581257474947,1,-0.2350255934517169,-0.5778654721856156,0,-0.23704059627202376,-0.581181123087708,0,-0.23517003857120178,-0.578249133336082,0,-0.23688368652001224,-0.5809047483223477,0
CCA_SG_16,-0.07267402876597648,-0.17534664793360843,0,-0.07926527401305958,-0.19652503151461415,0,0.38214414525507123,0.5796656025788909,1,-0.07265064395792217,-0.17528818134096094,0,-0.0750450206746,-0.18069094101017777,0,-0.07276025663422762,-0.17556723530769566,0,-0.07501707302080259,-0.18066513288676786,0
CCA_SG_17,-0.03676615159753577,-0.08631926034152876,0,-0.03995022450040381,-0.09678608458003367,0,0.28912089139892744,0.4408043028777556,1,-0.03676190984992908,-0.08630900447850934,0,-0.034516924995159265,-0.08049620199921365,0,-0.03645263301751278,-0.08554542371168787,0,-0.03426421187450429,-0.0798975371455148,0
CCA_SG_18,-0.09637599866503446,-0.23411159388128536,0,-0.10173677122613123,-0.2535333144967745,0,-0.11065442902258713,-0.15596390594041945,0,-0.09633481870680394,-0.23400851311640256,0,-0.09899847693956192,-0.239909373523302,0,-0.09604589587318065,-0.2333020915073343,0,-0.09872822158636732,-0.23929452395303533,0
CCA_SG_19,0.09222971009922891,0.23350372788974322,1,0.08237825935049271,0.21355090623221754,1,-0.024510683124290108,-0.027372053680976845,0,0.09234797838320415,0.23379399902165346,1,0.09653235555288407,0.24348764777112464,1,0.0925662675652082,0.2343464888847296,1,0.09674413860189085,0.24404036876352608,1
CCA_SG_20,1.1040405880471067,2.7421142697604304,1,1.065253970667213,2.707023243911701,1,0.9474273671480548,1.4234972214200825,1,1.1040355969076492,2.742077831696324,1,1.1145299925497067,2.760211067480599,1,1.1032951996241807,2.7403670000855573,1,1.1128195698301815,2.7564401222206385,1
CCA_SG_21,-0.17109872804322918,-0.41937371224837616,0,-0.1582379256255953,-0.39687195225117,0,-0.1915587709715745,-0.2767345907831049,0,-0.17108865138507554,-0.41934618702295096,0,-0.16906586329279447,-0.41313200762806346,0,-0.17087729289716627,-0.4188404785819994,0,-0.169041670354784,-0.41315513107049906,0
CCA_SG_24,-0.19416667182866346,-0.4765666998122062,0,-0.18034633108367085,-0.4529591022388957,0,0.2482948813063581,0.3798609087471554,1,-0.19422889717849393,-0.4767179521261007,0,-0.19114284237639068,-0.4677113585782624,0,-0.19416195974550696,-0.47657292381788496,0,-0.19113761755974631,-0.4677906931596644,0
CCA_SG_25,0.03043182886991885,0.08028654106571906,1,0.03646679045255903,0.09707740265375737,1,-0.07979777284407144,-0.10990235462115475,0,0.030402583529047213,0.08021237009161997,1,0.03160209675703516,0.0829651700948625,1,0.03052258270208946,0.0805141982222674,1,0.03180763941990151,0.08347508047781566,1
CCA_SG_29,0.015469283943846506,0.04318949185145629,1,0.020694513481897162,0.05706447337312767,1,0.5667365313315237,0.8552175488175141,1,0.015489888691535132,0.04323922672440304,1,0.013961960800183592,0.03935471199946114,1,0.015441693958485825,0.043122356235890676,1,0.01385886022408358,0.039094016788561545,1
CCA_SG_34,-0.17314334064451986,-0.42444297651250645,0,-0.1611381171731154,-0.40422949228848093,0,-0.42350798556060476,-0.6229788691470897,0,-0.1731176858963021,-0.4243767857643604,0,-0.17054989119970615,-0.4168008646598394,0,-0.17311778783407392,-0.4243956042829075,0,-0.17073038602549226,-0.41733073526714587,0
CCA_SG_48,0.10909835029268272,0.27532661153193877,1,0.11010753248963806,0.28389772091114635,1,-0.10554721909146408,-0.14834007233448016,0,0.10910229954018398,0.27533309875560585,1,0.1063148752285693,0.26767227794786697,1,0.10913202424302149,0.2754199406296926,1,0.1063064735820452,0.2676846842427145,1
CCA_SG_49,0.23971205751920593,0.5991607686876861,1,0.23999207373443077,0.6134037886236277,1,-0.3813585582863848,-0.5600599321035851,0,0.23971617257836397,0.599164941773039,1,0.23731505872322267,0.5915347485522675,1,0.23990880790138788,0.5996703819118242,1,0.2377277430957668,0.5926435947501272,1
CCA_SG_50,-0.07778861890259718,-0.18802739194784257,0,-0.06821444416869246,-0.16849001324316049,0,-0.27503376128097073,-0.40134263410986354,0,-0.077737823561238,-0.1879008595227105,0,-0.07863311529971206,-0.1895615330891468,0,-0.07775045740908032,-0.18794003388912725,0,-0.07874519420243167,-0.18988347480284032,0
CCA_SG_51,0.23959807932681632,0.5988781794200634,1,0.24495950334417801,0.626005736335492,1,0.562801303541598,0.849343202104442,1,0.23962155973733917,0.5989303675278268,1,0.2384045466864384,0.594228212439478,1,0.23973839292332308,0.5992478517784715,1,0.23872631483641432,0.5951127139886263,1
CCA_SG_52,-0.128448915794798,-0.3136308595601176,0,-0.1179291276618594,-0.29461194976007293,0,-0.029657684100059648,-0.03505528572705911,0,-0.12844059395562968,-0.3136085749512706,0,-0.12744173545448972,-0.31022762597872805,0,-0.1283408043496417,-0.3133747009699897,0,-0.12758378138681262,-0.31064424770422133,0
CCA_SG_54,0.1437409461129887,0.36121695227312794,1,0.14737786090183977,0.3784493837938892,1,0.04504003724083275,0.07645041032341807,0,0.14371744193277272,0.3611546512183081,1,0.14266638519922123,0.35754154007585726,1,0.1438328422942093,0.36145780798803073,1,0.14294273674085642,0.35827337057333264,1
